Dealer Name,City,FQ,Qty,Latitude,Longitude
GWM/HAVAL POLOKWANE,POLOKWANE,90,,-23.9045,29.46885
BIDVEST MCCARTHY LEXUS LYNNWOOD,PRETORIA,180,,-25.7449,28.18783
MGM MOTORS POLOKWANE,POLOKWANE,30,,,
MOFFETT PRE-OWNED,PORT ELIZABETH,30,,-33.9824,25.55281
NTT VOLKSWAGEN KRUGERSDORP,KRUGERSDORP,30,,-26.0858,27.77515
PERDEBERG MOTORS,MALMESBURY,14,,,
MOTUS LOUIS TRICHARDT,LOUIS TRICHARDT,180,,-23.0439,29.90319
BARLOWORLD TOYOTA STELLENBOSCH,STELLENBOSCH,30,,,
BIDVEST CAR RENTAL,ISANDO,30,,,
BIDVEST MCCARTHY TOYOTA GAUTENG FLEET,BRYANSTON,30,,,
BIDVEST MCCARTHY TOYOTA KZN FLEET,BRYANSTON,30,,,
BIDVEST MCCARTHY RICHARDSBAY,RICHARDS BAY,180,,-28.783,32.03768
BIDVEST MCCARTHY RIC...,RICHARDS BAY,180,,-28.783,32.03768
BIDVEST MCCARTHY TOYOTA WESTERN CAPE FLEET,BRYANSTON,30,,,
CALEDON TOYOTA,CALEDON,30,,-34.232,19.42644
CERES TOYOTA,CERES,30,,,
CMH GROUP,DURBAN,30,,-29.8579,31.0292
MATLA ENERGY (PTY) LTD T/A DE AAR TOYOTA,DE AAR,90,,,
DREAMTEAM VEHICLE RENTAL,PARK RYNIE,30,,-30.3159,30.74188
CMH CAR HIRE FLEET (PTY) LTD,UMHLANGA,30,,,
HALFWAY LEXUS PRETORIA,DIE WILGERS PRETORIA,30,,-25.7449,28.18783
HERTZ CAR RENTAL,JOHANNESBURG,30,,-26.2023,28.04363
HINO EASTRAND,BOKSBURG,180,,-26.212,28.25958
HINO EAST LONDON,BEACON BAY,180,,-32.9703,27.94404
HINO HONEYDEW,MOGALE CITY,90,,-26.0271,27.85309
HINO ISANDO,ISANDO,90,,-26.1396,28.20934
HINO KLERKSDORP,KLERKSDORP,180,,-26.8521,26.66672
HINO LIMPOPO,NERVANA,180,,,
MOTUS HINO MBOMBELA,MBOMBELA,180,,-25.4745,30.97033
HINO ORANJE,HAMILTON,180,,,
HINO POMONA,KEMPTON PARK,14,,,
HINO STANGER,STANGER,180,,-29.3282,31.28954
HINO WESTRAND,FLORIDA,180,,,
HYDE PARK TOYOTA,JOHANNESBURG,30,,,
T/A KLEIN KAROO TOYOTA,OUDTSHOORN,14,,,
NMI TOYOTA KURUMAN,POSTMASBURG,14,,,
MCCARTHY GROUP,DURBAN,30,,-29.8579,31.0292
MEGACITY HOLDINGS (PTY) LTD T/A UMLAZI TOYOTA,DURBAN,90,,,
MESSINA TOYOTA,MESSINA,90,,,
MESSINA TOYOTA,MESSINA,180,,,
MMG TOYOTA QUEENSTOWN,QUEENSTOWN,30,,,
MMG TOYOTA KOMANI,KOMANI,90,,,
MMG TOYOTA QUEENSTOWN,QUEENSTOWN,30,,,
MONTANA TOYOYA,PRETORIA,90,,,
MONTAGU TOYOTA,MONTAGU,14,,,
MOSSELBAAI TOYOTA,MOSSEL BAY,14,,,
MOTUS CAR RENTAL DIVISION MOTUS GROUP LIMITED,BRUMA,30,,,
MMG TOYOTA DUNDEE,DUNDEE,90,,,
NTT TOYOTA HOEDSPRUIT,HOEDSPRUIT,180,,,
NTT TOYOTA LOUIS TRICHARDT,POLOKWANE,180,,,
NTT TOYOTA THOHOYANDOU,MOKOPANE,30,,,
OVK GROUP,FICKSBURG,30,,,
PIET RETIEF TOYOTA AND HINO,MOOKGOPONG,30,,,
PRIESKA TOYOTA,PRIESKA,90,,,
R I S VEHICLE HIRE,PARK RYNIE,30,,-30.3159,30.74188
RETNEV GROUP,MOOKGOPONG,30,,-24.5508,28.85855
T/A R I S VEHICLE HIRE,PARK RYNIE,30,,-30.3159,30.74188
ROAL INVESTMENT GROUP,DURBAN,30,,-29.8579,31.0292
ROBERTSON TOYOTA,ROBERTSON,30,,-33.8035,19.88021
ROLA TOYOTA BREDASDORP,BREDASDORP,90,,,
SMG LEXUS UMHLANGA,UMHLANGA,90,,-29.7253,31.08583
SMG TOYOTA SOWETO,ORLANDO SOWETO,30,,,
SOUTHERN TOYOTA,LENASIA,90,,-26.3245,27.86634
STANDERTON TOYOTA,MOOKGOPONG,30,,,
KELSTON  MOTORS (PTY) LTD T/A KELSTON TOYOTA,CRADOCK,30,,,
THEKWINI TOYOTA KOKSTAD,KOKSTAD,180,,,
TAMBOTI TOYOTA,LEPHALALE,14,,,
SPRINGBOK TOYOTA,SPRINGBOK,14,,,
UNITRANS GROUP,BRYANSTON,30,,,
NMI TOYOTA POSTMASBURG,POSTMASBURG,30,,,
WATERBERG TOYOTA GROUP,BELA BELA,30,,,
WEIR'S GROUP,EAST LONDON,30,,-33.0153,27.91162
ALAN HUDSON MOTORS,NELSPRUIT,60,,,
ALPINE AUDI,DURBAN,30,,-29.8579,31.0292
ALPINE COMMERCIAL,PINETOWN,30,,,
ALPINE HILLCREST,HILLCREST,30,,-29.7748,30.76396
ALPINE MOTORS,PINETOWN,30,,,
ALPINE MOTOR GROUP,DURBAN,30,,-29.8579,31.0292
BARONS DURBAN,DURBAN,180,,-29.9095,30.99117
AUDI CENTRE BLOEMFONTEIN,BLOEMFONTEIN,180,,-29.1211,26.214
AUDI CENTRE BRAAMFONTEIN,"JOHANNESBURG, BRAAMFONTEIN",30,,,
AUDI CENTRE BRUMA,BRUMA,90,,-26.1786,28.11092
AUDI CENTRE BRUMA,JOHANNESBURG,180,,-26.2023,28.04363
AUDI CENTRE CENTURY CITY,CENTURY CITY,180,,-33.8912,18.51274
NMI T/A AUDI CENTRE CENTURY CITY,CENTURY CITY,90,,-33.8912,18.51274
CLAREMONT HOLDINGS T/A AUDI CENTRE CLAREMONT,CAPE TOWN,30,,-33.9258,18.42322
AUDI CENTRE DURBAN,DURBAN,180,,,
AUDI CENTRE EAST RAND MALL,BOKSBURG,180,,-26.212,28.25958
AUDI CENTRE EAST RAN...,"Gleneagles, 2091",180,,-26.2,28.0833
AUDI CENTRE EAST RAN...,"Tulisa park, 2197",180,,,
AUDI CENTRE BRYANSTON,BRYANSTON,180,,-26.0521,28.02805
AUDI CENTRE MBOMBELA,NELSPRUIT,60,,-25.4745,30.97033
AUDI CENTRE MENLYN,NEWLANDS,180,,-25.7925,28.28032
AUDI CENTRE MIDDELBURG,MIDDELBURG,180,,,
AUDI CENTRE N1 CITY,GOODWOOD,180,,,
AUDI CENTRE NORTHCLIFF,NORTHCLIFF,7,,-26.1462,27.97068
AUDI CENTRE PAARL,PAARL,30,,-33.7338,18.97523
NMI T/A AUDI CENTRE PIETERMARITZBURG,PIETERMARITZBURG,90,,-29.6168,30.39278
AUDI CENTRE PIETERMARITZBURG,PIETERMARITZBURG,180,,-29.6168,30.39278
AUDI CENTRE UMHLANGA,UNHLANGA,30,,,
AUDI CENTRE POLOKWANE,POLOKWANE,30,,-23.9166,29.4437
AUDI CENTRE RICHARDS BAY,RICHARDS BAY,30,,-28.783,32.03768
AUDI CENTRE RIVONIA,SUNNINGHILL EXTENSION 173,30,,,
AUDI RUSTENBURG,RUSTENBURG,90,,-25.6933,27.254
AUDI CENTRE SANDTON,SANDTON,180,,-26.0552,28.05943
AUDI CENTRE SPRINGS,SPRINGS,30,,-26.2584,28.47173
AUDI CENTRE THE GLEN,BENONI,180,,-26.1885,28.32078
AUDI CENTRE THE GLEN,JOHANNESBURG,180,,-26.2023,28.04363
AUDI CENTRE TRICHARDT,Trichardt,60,,-26.4916,29.22878
AUDI CENTRE SOMERSET WEST,SOMERSET,30,,-34.0784,18.82365
AUDI CENTRE JOHANNESBURG,JOHANNESBURG,7,,-26.2023,28.04363
AUDI KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
AUDI NEWCASTLE,NEWCASTLE,14,,-27.7596,29.93861
AUDI NEWCASTLE,NEWCASTLE,14,,-27.7596,29.93861
AUDI NEWCASTLE,NEWCASTLE,14,,-27.7596,29.93861
AUDI NEWCASTLE,ERMELO,14,,-26.5333,29.98333
AUDI NEWCASTLE,ERMELO,14,,-26.5333,29.98333
AUDI NEWCASTLE,BETHLEHEM,14,,,
AUDI NEWCASTLE,BETHLEHEM,14,,,
NTT AUDI KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
AUDI CENTRE POLOKWANE,POLOKWANE,30,,-23.9166,29.4437
AUDI CENTRE SOMERSET WEST,SOMERSET WEST,60,,-34.0784,18.82365
AUDI CENTRE MARGATE...,"PORT SHEPSTONE, 4240",30,,-30.75,30.45
AUDI CENTRE MARGATE,MARGATE,30,,,
AUTOWAGEN,BRONKHORSTSPRUIT,14,,-25.8102,28.74248
AUTOHAUS CENTURION AUDI,CENTURION,30,,-25.8589,28.18577
AUTOHAUS CENTURION GROUP,CENTURION,30,,-25.8589,28.18577
AVIS RENT A CAR,ISANDO,30,,,
NMI BARONS BELLVILLE,BELLVILLE,90,,-33.9002,18.62847
BARONS BELVILLE,BELLVILE,180,,,
NMI T/A BARONS BRUMA,BRUMA,90,,-26.1786,28.11092
BARONS BRUMA,BEDFORDVIEW,180,,,
NMI T/A BARONS CAPE TOWN,CAPE TOWN,90,,-33.9258,18.42322
BARONS CAPE TOWN,CAPE TOWN,180,,-33.8917,18.56513
NMI T/A BARONS DURBAN,DURBAN,90,,,
BARONS DURBAN,DURBAN,180,,-29.9095,30.99117
BARLOWORLD GROUP,ISANDO,30,,,
NMI T/A BARONS N1 CITY,GOODWOOD,90,,,
BARONS N1 CITY,GOODWOOD,180,,-33.8917,18.56513
NMI T/A BARONS PIETERMARITZBURG,PIETERMARITZBURG,90,,-29.6168,30.39278
BARONS PIETERMARITZBURG,PIETERMARITZBURG,180,,-29.6168,30.39278
BARONS POSTMASBURG,POSTMASBURG,180,,-28.3339,23.06541
NMI T/A BARONS TOKAI,TOKAI,90,,-34.0667,18.43333
BARONS TOKAI,TOKAI,90,,-34.0667,18.43333
BARLOWORLD - VOLKSWAGEN GROUP,ISANDO,30,,,
NMI T/A BARONS WOODMEAD,SANDTON,90,,,
BARONS WOODMEAD,SANDTON,180,,,
CFAO VW COMMERCIAL,BENONI,180,,-26.1885,28.32078
BENONI CITY VW & COM...,Alberton,180,,,
BETHLEHEM VOLKSWAGEN,BETHLEHEM,14,,,
BETHLEHEM VOLKSWAGEN,BETHLEHEM,14,,,
BETHLEHEM VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
BETHLEHEM VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
BETHLEHEM VOLKSWAGEN,NEWCASTLE,14,,,
BETHLEHEM VOLKSWAGEN,NEWCASTLE,14,,,
BETHLEHEM VOLKSWAGEN,NEWCASTLE,14,,,
BONUS MOTORS,POTGIETERSRUS,30,,,
MOKOPANE VOLKSWAGEN,MOKOPANE,180,,-24.1944,29.00974
BRITS VOLKSWAGEN,BRITS,90,,-25.6347,27.78022
CARTER VOLKSWAGEN BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,30,,-25.8102,28.74248
MCCARTHY VOLKSWAGEN WITBANK,WITBANK,180,,-25.8857,29.26839
AUDI CENTRE POLOKWANE,POLOKWANE,30,,-23.9166,29.4437
VOLKSWAGEN COMMERCIAL POLOKWANE,POLOKWANE,30,,-23.9045,29.46885
VOLKSWAGEN POLOKWANE,POLOKWANE,30,,-23.9045,29.46885
CLAREMONT HOLDINGS (PTY) LTD,VREDENDAL,30,,-31.6683,18.50119
CLAREMONT VOLKSWAGEN AND AUDI,CAPE TOWN,30,,-33.9258,18.42322
CLAREMONT HOLDINGS (PTY) T/A  CLAREMONT VOLKSWAGEN,CAPE TOWN,30,,-33.9258,18.42322
DIRK ELLIS MOTOR GROUP,JEFFREYS BAY,30,,-34.0507,24.9195
DIRK ELLIS VOLKSWAGEN,HUMANSDORP,30,,,
DIRK ELLIS VOLKSWAGEN JEFFREYS BAY,JEFFREYS BAY,60,,-34.0507,24.9195
DOCRAT GROUP,NEWCASTLE,14,,,
DU PLESSIS MOTORS,OUDTSHOORN,30,,,
DUCATI CLAREMONT,CLAREMONT,30,,,
DUCATI JOHANNESBURG,SANDTON,30,,,
T/A DU PLESSIS MOTORS,OUDTSHOORN,30,,,
DUTTON MOTORS,SASOLBURG,30,,,
NTT AUDI CENTRE EAST LONDON,ABBOTSFORD,30,,,
NTT VW EAST LONDON,EAST LONDON,30,,-33.0153,27.91162
ERMELO VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
ERMELO VOLKSWAGEN,BETHLEHEM,14,,,
ERMELO VOLKSWAGEN,BETHLEHEM,14,,,
ERMELO VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
ERMELO VOLKSWAGEN,NEWCASTLE,14,,,
ERMELO VOLKSWAGEN,NEWCASTLE,14,,,
ERMELO VOLKSWAGEN,NEWCASTLE,14,,,
EUROPCAR,BRUMA,30,,,
GATEWAY VW,CARLETONVILLE,7,,-26.3609,27.39767
GRESSE MOTOR GROEP,UPINGTON,30,,-28.4478,21.25612
GROUP SIX TRUST GROUP,NELSPRUIT,30,,-25.4745,30.97033
AUDI CENTRE HATFIELD,HATFIELD,30,,,
HATFIELD VW MELROSE COMMERCIAL VEHICLES,MELROSE,30,,,
HATFIELD VW PRETORIA,PRETORIA,30,,-25.7454,28.23916
HATFIELD VW PRETORIA,Solomon mahlangu Dr,30,,,
HATFIELD VW GROUP,PRETORIA,30,,-25.7449,28.18783
HATFIELD VW BRYANSTON,BRYANSTON,30,,-26.0521,28.02805
HATFIELD VW COMMERCIAL VEHICLES,PRETORIA,30,,-25.7449,28.18783
HATFIELD VW COMMERCIAL VEHICLES,Solomon Mahlangu Dr,30,,,
HATFIELD VW NORTHCLIFF,JOHANNESBURG,30,,-26.2023,28.04363
HATFIELD VW RIVONIA,JOHANNESBURG,30,,-26.0571,28.05981
HATFIELD VW BRAAMFONTEIN,BRAAMFONTEIN,30,,-26.1982,28.02194
HATFIELD VW BRAAMFON...,Braamfontein,30,,,
HATFIELD VW MELROSE ARCH,BIRNAM,30,,,
NTT VW HEIDELBERG,HEIDELBERG,30,,,
HERTZ RENT A CAR,CAPE TOWN INTERNATIONAL AIRPORT,90,,-33.9648,18.60167
HERTZOG BRIDGE GARAGE,ALIWAL NORTH,30,,-30.6937,26.71141
HOFFELDT GROUP,BRONKHORSTSPRUIT,30,,-25.8102,28.74248
HOOPER VOLKSWAGEN,DURBAN,30,,-29.8579,31.0292
IMPERIAL HOLDINGS LIMITED GROUP,BOKSBURG,30,,-26.212,28.25958
Visibilty Child Dealer,,30,,,
Visibilty Child Dealer,,30,,,
Visibilty Child Dealer,town,30,,,
Visibility Home Dealer Page,,30,,,
Visibility Dealer Home Page,,30,,,
Visibility Dealer Home Page,town,30,,,
KELSTON GROUP,PORT ELIZABETH,60,,-33.9902,25.55161
KELSTON MOTORS,PORT ELIZABETH,60,,,
KLERKSDORP VW,KLERKSDORP,180,,-26.8521,26.66672
VOLKSWAGEN KNYSNA,KNYSNA,30,,-34.0403,23.05317
KROONSTAD VW,KROONSTAD,180,,-27.6504,27.23488
KROONSTAD VW,KROONSTAD,30,,-27.6504,27.23488
LADYSMITH AUTOHAUS,LADYSMITH,30,,,
LANNIE MOTORS,TZANEEN,30,,,
LENASIA VW,LENASIA,7,,-26.3258,27.86481
LINDSAY SAKER KEMPTON PARK,RHODESFIELD,180,,,
LINDSAY SAKER ALBERTON,ALBERTON,180,,-26.2679,28.12225
LINDSAY SAKER BLOEMFONTEIN,BLOEMFONTEIN,180,,-29.1116,26.22153
LINDSAY SAKER EAST RAND,BOKSBURG NORTH,180,,-26.2054,28.25392
LS EAST RAND (INACTIVE),BOKSBURG,180,,-26.212,28.25958
LINDSAY SAKER EDENVALE,EDENVALE,180,,-26.141,28.15247
LINDSAY SAKER FOURWAYS,FOURWAYS,180,,-26.0211,28.00917
LINDSAY SAKER GROUP,BOKSBURG,30,,-26.212,28.25958
LINDSAY SAKER GERMISTON,JOHANNESBURG,180,,-26.2023,28.04363
LINDSAY SAKER MIDRAND,MIDRAND,180,,-25.99,28.13113
AUDI CENTRE VEREENIGING,VEREENIGING,180,,-26.6731,27.92615
LINDSAY SAKER VEREENIGING,VEREENIGING,180,,-26.6731,27.92615
LINDSAY SAKER WELKOM,WELKOM,180,,-27.9774,26.73506
LINDSAY SAKER WELKOM (AUDI),WELKOM,180,,-27.9774,26.73506
MARBLE GOLD GROUP,POLOKWANE,30,,-23.9045,29.46885
MARKET SQUARE CARS CALEDON STREET,UITENHAGE,60,,-33.7576,25.3971
MARKET SQUARE CARS CALEDON STREET,Queenstown,60,,-31.8976,26.87533
MARKET SQUARE CARS CALEDON STREET,Uitenhage,60,,-33.7576,25.3971
MARKET SQUARE CARS CALEDON STREET,Somerset West,60,,-34.084,18.82113
MARKET SQUARE CARS CALEDON STREET,Port Alfred,60,,-33.5906,26.89104
 MARKET SQUARE CARS CALEDON STREET,Port Elizabeth,60,,-33.918,25.57007
MARKET SQUARE CARS 6TH AVENUE,PORT ELIZABETH,60,,-33.918,25.57007
MARKET SQUARE CARS 6...,"Queenstown,5319",60,,-31.9,26.8833
MARKET SQUARE CARS 6...,"Uitenhage, 6139",60,,-33.3,26.5333
MARKET SQUARE CARS 6...,"Trichardt, 2300",60,,-26.55,29.1667
 MARKET SQUARE CARS 6...,"Port Alfred, 6170",60,,-33.6,26.9
MARKET SQUARE QUEENSTOWN,QUEENSTOWN,60,,-31.8976,26.87533
MARKET SQUARE QUEENSTOWN,QUEENSTOWN,60,,-31.8976,26.87533
MARKET SQUARE QUEENSTOWN,QUEENSTOWN,60,,-31.8976,26.87533
MARKET SQUARE QUEENSTOWN,UITENHAGE,60,,-33.7576,25.3971
MARKET SQUARE QUEENSTOWN,PORT ALFRED,60,,-33.5906,26.89104
MARKET SQUARE VOLKSWAGEN - GRAHAMSTOWN,GRAMHAMSTOWN,60,,,
MARKET SQUARE VOLKSWAGEN - GRAHAMSTOWN,UITENHAGE,60,,-33.7576,25.3971
MARKET SQUARE VOLKSWAGEN - GRAHAMSTOWN,PORT ELIZABETH,60,,-33.918,25.57007
MARKET SQUARE VOLKSWAGEN - GRAHAMSTOWN,QUEENSTOWN,60,,-31.8976,26.87533
MARKET SQUARE VOLKSWAGEN - GRAHAMSTOWN,PORT ALFRED,60,,-33.5906,26.89104
MARKET SQUARE VOLKSWAGEN - UITENHAGE,UITENHAGE,60,,-33.7854,25.42657
MARKET SQUARE VOLKSWAGEN - UITENHAGE,PORT ELIZABETH,60,,-33.918,25.57007
MARKET SQUARE VOLKSWAGEN - UITENHAGE,SOMERSET WEST,60,,-34.084,18.82113
MARKET SQUARE VOLKSWAGEN - UITENHAGE,QUEENSTOWN,60,,-31.8976,26.87533
MARKET SQUARE VOLKSWAGEN - UITENHAGE,GRAMHAMSTOWN,60,,,
MARKET SQUARE VOLKSWAGEN - UITENHAGE,PORT ALFRED,60,,-33.5906,26.89104
MASCOR CORPORATION GROUP,GREYTOWN,30,,-29.0642,30.59279
MASCOR VRYHEID,VRYHEID,30,,-27.7736,30.80755
MCCARTHY AUDI WONDERBOOM,ARCADIA,180,,,
AUTOHAUS CENTURION VW,CENTURION,30,,-25.8589,28.18577
MCCARTHY VW & AUDI GROUP,DURBAN,180,,-29.8579,31.0292
MCCARTHY AUDI WESTRAND,ROODEPOORT,180,,-26.1625,27.8725
MCCARTHY GROUP,DURBAN,30,,-29.8579,31.0292
MCCARTHY VOLKSWAGEN MIDDELBURG,MIDDELBURG,180,,,
MCCARTHY VOLKSWAGEN ARCADIA,PRETORIA,180,,-25.7449,28.18783
MCCARTHY VOLKSWAGEN DURBAN,NORTH BEACH DURBAN,180,,-29.8579,31.0292
MCCARTHY VOLKSWAGEN MENLYN,NEWLANDS,180,,-33.9785,18.4481
MCCARTHY VOLKSWAGEN PARROW,PARROW,180,,,
MCCARTHY VOLKSWAGEN SILVER OAKS,PRETORIA,180,,-25.7449,28.18783
MCCARTHY VOLKSWAGEN UMHLANGA,UMHLANGA RIDGE,180,,,
MCCARTHY VOLKSWAGEN WITBANK,"WITBANK,",180,,-25.8857,29.26839
MCCARTHY VOLKSWAGEN WONDERBOOM,WONDERBOOM,180,,-25.6539,28.22423
MCCARTHY VOLKSWAGEN CONSTANTIA,ROODEPOORT,180,,-26.1625,27.8725
MCCARTHY VW WESTGATE,ROODEPOORT,180,,-26.1625,27.8725
MCDULING MOTORS,BOOYSENS,180,,,
MIDBAY MOTORS VW,RICHARDSBAY,30,,,
MIDBAY MOTORS,RICHARDS BAY,30,,,
MIDBAY MOTORS AUDI,RICHARDS BAY,30,,,
MIDBAY MOTORS GROUP,RICHARDS BAY,30,,,
MOSSEL BAY GROUP,KNYSNA,30,,-34.0363,23.04713
MUJI SPRINGS VOLKSWAGEN,SPRINGS,30,,-26.25,28.4
MUJI LADYSMITH,LADYSMITH,30,,-28.5587,29.77896
MUJI MOTOR GROUP,SPRINGS,30,,,
NEWCASTLE VOLKSWAGEN,NEWCASTLE,14,,-27.7596,29.9384
NEWCASTLE VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
NEWCASTLE VOLKSWAGEN,ERMELO,14,,-26.5333,29.98333
NEWCASTLE VOLKSWAGEN,BETHLEHEM,14,,,
NEWCASTLE VOLKSWAGEN,BETHLEHEM,14,,,
NEWCASTLE VOLKSWAGEN,NEWCASTLE,14,,-27.7596,29.9384
NEWCASTLE VOLKSWAGEN,NEWCASTLE,14,,-27.7596,29.9384
NMI DSM GROUP,TOKAI,30,,,
NTT AUDI KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
NTT GROUP,GROBLERSDAL,30,,,
NTT VOLKSWAGEN KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
NTT VOLKSWAGEN KRUGERSDORP,KRUGERSDORP,30,,-26.0858,27.77515
NTT VOLKSWAGEN MTHATHA,MTHATHA,30,,-31.5889,28.78443
NTT VOLKSWAGEN KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
NTT VW KING WILLIAMS TOWN,KING WILLIAMS TOWN,30,,-32.8803,27.39454
NTT VW POTCHEFSTROOM,SPRINGBOK,30,,-29.6643,17.8865
NTT VW PAARL,PAARL,30,,-33.7338,18.97523
PALM MOTORS,WHITE RIVER,60,,,
PALM MOTORS COMMERCIAL,WHITE RIVER,60,,,
PHILWEST MOTORS SOMERSET WEST,SOMERSET WEST,30,,,
PRINCES BENONI,BENONI NORTH,30,,,
PRINCE'S GROUP,BENONI,30,,-26.1885,28.32078
PRINCES SPRINGS,SPRINGS,30,,-26.2584,28.47173
ROLA MOTOR GROUP,STRAND,30,,,
RUSTENBURG VOLKSWAGEN,RUSTENBURG,90,,-25.6676,27.24208
AUDI CENTRE SOMERSET WEST,CAPE TOWN,30,,-34.0784,18.82365
SOUTH COAST AUDI AND...,"PORT SHEPSTONE, 4240",30,,-30.75,30.45
SOUTH COAST AUDI AND VW,MARGATE,30,,,
SOUTH COAST GROUP,MARGATE,30,,,
SOUTHEY MOTOR GROUP,KIMBERLEY,30,,-28.7323,24.76232
MOSSEL BAY VOLKSWAGEN,MOSSEL BAY,14,,-34.1831,22.14605
VOLKSWAGEN KIMBERLEY,KIMBERLEY,30,,-28.7323,24.76232
SOWETO VOLKSWAGEN,SOWETO,7,,-26.2678,27.85849
NTT VW STELLENBOSCH,CAPE TOWN,30,,-33.9258,18.42322
STRIJDOM PARK VOLKSWAGEN,RANDBURG,180,,,
