Dealer Name,City,FQ,Qty,Long,Lat
ABSOLUTE AUTO & LEISURE,GAUTENG,30,26,28.1478302,-26.1315683
ROSSO AUTO - ROSSO AUTO (PTY) LTD,Centurion,30,12,-25.92714692,28.13967298
KIA MALMESBURY,MALMESBURY,30,18,-33.46490623,18.72807695
MOBILIS AUTO,KEMPTON PARK,30,8,-26.14026691,28.2704163
HYUNDAI LENASIA,LENASIA,30,12,-26.3210112,27.86076994
TUINROETE CARAVANS & CAMPING 4X4,MOSSELBAAI,30,3,-34.1601803,22.10395842
STUCKY MOTORS MBOMBELA,MBOMBELA,30,31,-25.43263003,30.95942727
CHANGAN EDENVALE,EDENVALE,14,23,-26.13484743,28.14961361
JETOUR CARNIVAL (MOBILIS AUTO LAB (PTY) LTD),BRAKPAN,30,18,-26.2477827,28.32066238
HYUNDAI GQEBERHA,PORT ELIZABETH,30,71,-33.99231023,25.55052622
CHERY HERMANUS (BLUE OVAL 5050),HERMANUS,30,42,-34.42092862,19.22003363
DOT AUTO,CENTURION,30,50,-25.86520334,28.15725192
G F G MOTOR FRANCHISE,ALBERTON,30,42,-26.27385185,28.12250979
ROLA HONDA,SOMERSET WEST,30,44,-34.08270006,18.82109782
KIA LENASIA,LENASIA,30,25,-26.32127989,27.86136716
STUCKY MOTORS PIET RETIEF,PIET RETIEF,30,22,-27.00715026,30.80464276
HAVAL MOKOPANE,MOKOPANE,30,22,-24.18213682,29.00870889
HYUNDAI MOBENI 2,DURBAN,14,55,-29.93832273,30.96210859
HYUNDAI MOKOPANE,MOKOPANE,30,17,-24.17702222,29.01506483
HYUNDAI UITENHAGE,UITENHAGE,30,14,-33.76396575,25.39526427
JAC MOTORS BRACKENFELL/BAIC BRACKENFELL,BRACKENFELL CAPE TOWN,30,6,-33.87716879,18.68972918
TATA KEMPTON PARK,KEMPTON PARK,30,21,-26.11291236,28.26656719
MMU MULTIFRANCHISE BELA BELA,BELA BELA,30,20,-24.88452495,28.29877336
MMU MULTIFRANCHISE MODIMOLLE,MODIMOLLE,30,16,-24.70750343,28.412877
KIA MOTORS BRITS,BRITS,30,17,-25.6262004,27.78165607
ELSO CARS,STRAND,30,10,-34.09534825,18.84454546
TATA GQEBERHA,GQEBERHA,30,13,-33.93382796,25.60901341
KIA MOTORS HERMANUS - SPS CARS (PTY) LTD,HERMANUS,30,6,-34.41487514,19.20861923
CHERY SPRINGS,SPRINGS,7,31,-26.25181589,28.44533004
INFINITE AUTO,PRETORIA,30,78,-25.72456217,28.2052065
MMU TATA KLERKSDORP,KLERKSDORP,30,30,-26.8246899,26.81545304
HYUNDAI MALMESBURY,MALMESBURY,30,34,-33.46699674,18.72437317
CHANGAN BOKSBURG,BOKSBURG,30,12,-26.18101741,28.24389985
MOSSELBAAI MOTORS,MOSSEL BAY,30,7,-34.15825065,22.10391065
MANHATTAN AUTO,WELKOM,30,33,-27.98107192,26.76801352
CHERY KEMPTON PARK,KEMPTON PARK,30,3,-26.11330219,28.26632946
CHERY BRITS,BRITS,30,26,-25.62825632,27.78114026
FOTON BRITS - JJR MOTORS (PTY) LTD,BRITS,30,15,-25.61982249,27.78424589
ROLA JEEP AND FIAT,SOMERSET WEST,30,4,-34.0795785,18.82493453
JETOUR NELSON MANDELA BAY,PORT ELIZABETH,30,34,-33.97939135,25.55307637
PARKVIEW AUTO SOUTH,VANDERBIJLPARK,30,28,-26.71086692,27.84621277
KIA MOKOPANE,MOKOPANE,30,19,-24.17705558,29.01504813
ROLA MAHINDRA VREDENBURG,VREDENBURG,30,16,-32.91320624,17.99436989
CBK Motors Boksburg,BOKSBURG,30,25,-26.19934735,28.25368246
MAHINDRA HERMANUS,HERMANUS,30,2,-34.41539398,19.20865474
RENAULT BRITS,BRITS,30,15,-25.62698298,27.78196522
ROLA MITSUBISHI,SOMERSET WEST,30,8,-34.08270557,18.82084161
ROLA VOLVO,SOMERSET WEST,30,11,-34.07887968,18.82612097
ROLA LUXURY COLLECTION,STELLENBOSCH,30,25,-34.08273857,18.82105144
HAVAL SPRINGS,SPRINGS,30,0,-26.25213549,28.4451895
STUCKY MOTORS NEWCASTLE,NEWCASTLE,30,43,-27.7519231,29.93304573
MARITIME MOTORS (MITSUBISHI),PORT ELIZABETH,30,10,-33.97873162,25.55305239
MMU MULTI FRANCHISE VRYBURG,VRYBURG,30,6,-26.95935533,24.7380133
MARITIME MOTORS (KIA),PORT ELIZABETH,30,23,-33.97888086,25.55313653
ROLA HAVAL HERMANUS,HERMANUS,30,1,-34.42012713,19.22422752
HYUNDAI KOUGA,JEFFREYS BAY,30,13,-34.02938105,24.90161228
MMU TATA MAHIKENG,MAHIKENG,30,29,-25.8415687,25.63450557
CBK Motors Ballito,BALLITO,30,13,-29.52710101,31.19956484
MMU MULTI FRANCHISE LEPHALALE,LEPHALALE,30,9,-23.68646331,27.74202139
HYUNDAI LENASIA (2),LENASIA,30,37,-26.32091244,27.86062915
HI AUTO FORD JAC DFSK - JURIE INVESTMENTS CC,KWAZULU-NATAL,30,8,-29.01256243,29.8813467
KIA JEFFREYS BAY,JEFFREYS BAY,30,4,-34.03008917,24.90116381
CHERY CARNIVAL,BRAKPAN,30,3,-26.24270345,28.32105501
ROLA HAVAL STELLENBOSCH,STELLENBOSCH,30,38,-33.92645732,18.85591171
CHANGAN ALBERTON,ALBERTON,14,12,-26.25975814,28.11922026
