Dealer Name,City,FQ,Qty,Latitude,Longitude,Latitude2,Longitude2
PENTA LIMPOPO (PROPRIETARY) LIMITED,POLOKWANE,30,,-23.9045,29.46885,-23.90817732,29.45452933
SUZUKI RUSTENBURG (PROPRIETARY) LIMITED,RUSTENBURG,30,,-25.6676,27.24208,-25.68804672,27.25300914
KEITZMAN FINANCE PTY LTD,JOHANNESSBURG,30,,,,- 26.08267022,28.00887004
JOHN CLIFFORD CC,CAPE TOWN,30,,-33.9258,18.42322,,
GETWORTH (PTY) LTD,RICHWOOD,30,,,,-33.84405136,18.54030427
FORESTRY PLANT & EQUIPMENT SALES CC,NELSPRUIT,30,,-25.4745,30.97033,-25.4553668,30.9613932
TIFFANY CAR SALES CC,JOHANNESBURG,30,,-26.2023,28.04363,-26.29146872,28.44572902
THE LARCHE FAMILY TRUST,SANDTON,30,,,,,,
ADW TRUCK SALES PTY LTD,CENTURION,30,,-25.8589,28.18577,-25.90320607,28.25679658
VALIDUS TRADING 100 CC,BOKSBURG,30,,-26.212,28.25958,,
BENONI PROPERTY DEVELOPERS (PTY) LTD,SPRINGS,30,,-26.25,28.4,,
KELSTON MOTORS (PTY) LTD,FAIRVIEW,30,,,,,,
AVURA MOTORS (PTY) LTD,RUSTENBURG,30,,,,-25.703701,27.25337952
PHAROAH GROUP (PTY) LTD,SANDTON,30,,,,,,
KELSTON MOTORS (PTY) LTD,EASTERN CAPE,30,,,,,,
REPUBLIC BUS AND TRUCK CC,BRAKPAN,30,,-26.2366,28.36938,-26.23238956,28.37391264
SHAUN MICHAEL BOUCHIER TRUST,EAST LONDON,30,,-33.0153,27.91162,,
PENTA MENLYN (PROPRIETARY) LIMITED,PRETORIA,30,,-25.7449,28.18783,-25.79254949,28.28198088
SUZUKI MONTANA (PROPRIETARY) LIMITED,PRETORIA,30,,-25.7449,28.18783,-25.68182171,28.26424276
MARK WHITE MOTORS (PTY) LTD,JOHANNESBURG,30,,,,-26.01892592,28.01016576
CHARNIE MOTORS CC,PRETORIA,30,,,,,,
GDP HOLDINGS (PTY) LTD,ROODEPOORT,30,,-26.1625,27.8725,-26.13314847,27.97432171
FABRICIUS MEGANIESE DIENSTE BK,KOUE BOKKEVELD,30,,-33.0833,19.41667,-33.01595225,19.31438376
AUTOFAIR GOLDFIELDS (PTY) LTD,BLOEMFONTEIN,30,,-29.1211,26.214,-29.12908668,26.21895827
19AUTO (PTY) LTD,GAUTENG,30,,-26.0833,28.25,-26.00990997,28.10824918
MH CLOETE ENTERPRISES (PTY) LTD,SOMERSET WEST,30,,-34.084,18.82113,-34.08288813,18.82089219
MALSTER TRADING CC,DURBAN,30,,-29.8579,31.0292,-29.85844246,31.02957684
LINDRIENA ENTREPRENEURS (PTY) LTD,STELLENBOSCH,30,,-33.9346,18.86676,,
SILVERLINE CARS (PTY) LTD,MIDRAND,30,,-25.9895,28.12843,,
LINDRIENA ENTREPRENEURS (PTY) LTD,STELLENBOSCH,30,,-33.9346,18.86676,,
SILVERLINE CARS (PTY) LTD,MIDRAND,30,,-25.9895,28.12843,,
LINDRIENA ENTREPRENEURS (PTY) LTD,STELLENBOSCH,30,,-33.9346,18.86676,,
LINDRIENA ENTREPRENEURS (PTY) LTD,STELLENBOSCH,30,,-33.9346,18.86676,,
LINDRIENA ENTREPRENEURS (PTY) LTD,STELLENBOSCH,30,,-33.9346,18.86676,,
LINDRIENA ENTREPRENEURS (PTY) LTD,STELLENBOSCH,30,,-33.9346,18.86676,,
TRUCK CENTRE DURBAN (PTY) LTD,PINETOWN,30,,,,-29.828788,30.82905624
NEW AGE FLEET MAINTENANCE (PTY) LTD,PORT ELIZABETH,30,,-33.918,25.57007,-33.98000803,25.59495524
AUTOWORLD EXOTICS (PTY) LTD,CAPE TOWN,30,,-33.9258,18.42322,-33.91195325,18.55257219
KAROO JAC (PTY) LTD,GRAAFF-REINET,30,,-32.2522,24.53075,-32.26736804,24.54275098
KAROO SUZUKI (PTY) LTD,GRAAFF-REINET,30,,-32.2522,24.53075,-32.26736542,24.54266198
AFRICA BIOMASS COMPANY (PTY) LTD,WORCESTER,30,,,,-33.64212566,19.47183171
LTX LANDINI PTY LTD,LICHTENBURG,30,,-26.152,26.15968,-26.16675137,26.15423469
ZELPY 2707 (PTY) LTD,CERES,30,,,,,,
GOLF CAR SA (PTY) LTD,PRETORIA,30,,-25.7449,28.18783,,
PLATINA MOTOR GROUP (PTY) LTD,RUSTENBURG,30,,-25.6676,27.24208,-25.70387641,27.25346754
PLATINA MOTOR GROUP (PTY) LTD,GEORGE,30,,-33.963,22.46173,-33.96842932,22.44968073
LAEVELD TREKKERS TZANEEN (PTY) LTD,LETSITELE,30,,,,-23.88739626,30.39023559
GENIUS LANDBOU IMPORT AND EXPORTS (PTY) LTD,TARLTON,30,,,,-26.06895998,27.68072929
DEALFIN (PTY) LTD,PRETORIA,30,,-25.7449,28.18783,-25.84935443,28.19500591
NMI DURBAN SOUTH MOTORS (PTY) LTD,EMALAHLENI,30,,,,-25.7857295,28.27892629
NMI DURBAN SOUTH MOTORS (PROPRIETARY) LIMITED,EMALAHLENI,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,PRETORIA,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,JOHANNESBURG,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,ALBERTON,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,MIDDELBURG,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,PINETOWN,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,CAPE TOWN,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,DURBAN,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,DURBAN,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,DURBAN,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,DURBAN,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,KUILSRIVER,30,,,,,,
PENTA SUZUKI RUSTENBURG,BRITS,30,,-25.6347,27.78022,-25.68805479,27.25302423
PENTA SUZUKI KLERKSDORP (PTY) LTD,POTCHEFSTROOM,30,,-26.7167,27.1,-26.85404753,26.69179062
SILVERLINE CARS (PTY) LTD,MIDRAND,30,,-25.9895,28.12843,,
ICAR TECHNOLOGIES (PTY) LTD,JOHANNESBURG,30,,-26.2023,28.04363,-26.10332314,28.07098533
APEX TRUCK & TRAILERS PTY LTD,BOKSBURG,30,,-26.212,28.25958,-26.17693885,28.22991372
OPTIMUM ASSET FINANCE (PTY) LTD,PRETORIA,30,,-25.7449,28.18783,-25.86154415,28.25637055
THE GLEN MOTORS (PTY) LTD,BASSONIA,30,,,,,,
THE GLEN MOTORS (PTY) LTD,BASSONIA,30,,,,,,
WINGFIELD MOTORS,CAPE TOWN,30,,,,-33.90742194,18.53813425
WINGFIELD MOTORS,CAPE TOWN,30,,,,,,
WINGFIELD MOTORS,CAPE TOWN,30,,,,,,
THE GLEN MOTORS (PTY) LTD,JOHANNESBURG,30,,,,,,
SILVERLINE CARS (PTY) LTD,MIDRAND,30,,-25.9895,28.12843,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,STELLENBOSCH,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,CENTURION,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,STELLENBOSCH,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,POSTMASBURG,30,,,,,,
NMI DURBAN SOUTH MOTORS (PTY) LTD,CENTURION,30,,,,,,
PURE SILK INVEST 2 (PTY) LTD,CAPE TOWN,30,,-33.9258,18.42322,,
PURE SILK INVEST 2 (PTY) LTD,CAPE TOWN,30,,-33.9258,18.42322,,
AMC EQUIPMENT (PTY) LTD,DOUGLAS,30,,,,-29.06108388,23.77984746
VISSER AGRI FNP VISSER ONDERNEMINGS BK,BETHLEHEM,30,,,,-28.24277008,28.28275441
FAW NEWLANDS (PTY) LTD,JOHANNESBURG,30,,-26.2023,28.04363,-26.17618614,27.97132707
DYNARITE TRUCKS (PTY) LTD,BLOEMFONTEIN,30,,-29.1211,26.214,-29.20083996,26.18497272
PENTA MONTANA (PTY) LTD,PRETORIA,30,,-25.7449,28.18783,-25.68184562,28.26425123
SMG HARBOUR ARCH (PTY) LTD,CAPE TOWN,30,,-33.9258,18.42322,-33.92190698,18.43317737
SELECT ON CEDAR (PTY) LTD,JOHANNESBURG,30,,-26.2023,28.04363,-26.0331017,28.07737875
